,1. open,2. high,3. low,4. close,5. volume
2021-03-12,0.5058,0.5058,0.5058,0.5058,0
2021-03-11,0.5058,0.5058,0.5058,0.5058,4000
2021-03-10,0.5150,0.5150,0.5150,0.5150,0
2021-03-09,0.5150,0.5150,0.5150,0.5150,0
2021-03-08,0.5150,0.5150,0.5150,0.5150,0
2021-03-05,0.5150,0.5150,0.5150,0.5150,780
2021-03-04,0.5342,0.5342,0.5342,0.5342,0
2021-03-03,0.5342,0.5342,0.5342,0.5342,0
2021-03-02,0.5342,0.5342,0.5342,0.5342,0
2021-03-01,0.5342,0.5342,0.5342,0.5342,0
2021-02-26,0.5342,0.5342,0.5342,0.5342,0
2021-02-25,0.5342,0.5342,0.5342,0.5342,0
2021-02-24,0.5342,0.5342,0.5342,0.5342,0
2021-02-23,0.5342,0.5342,0.5342,0.5342,0
2021-02-22,0.5342,0.5342,0.5342,0.5342,0
2021-02-19,0.5342,0.5342,0.5342,0.5342,0
2021-02-18,0.5342,0.5342,0.5342,0.5342,0
2021-02-17,0.5342,0.5342,0.5342,0.5342,0
2021-02-16,0.5250,0.5342,0.5250,0.5342,250
2021-02-12,0.5350,0.5350,0.5350,0.5350,0
2021-02-11,0.5350,0.5350,0.5350,0.5350,0
2021-02-10,0.5350,0.5350,0.5350,0.5350,0
2021-02-09,0.5350,0.5350,0.5350,0.5350,0
2021-02-08,0.5350,0.5350,0.5350,0.5350,0
2021-02-05,0.5350,0.5350,0.5350,0.5350,0
2021-02-04,0.5350,0.5350,0.5350,0.5350,0
2021-02-03,0.5350,0.5350,0.5350,0.5350,0
2021-02-02,0.5350,0.5350,0.5350,0.5350,0
2021-02-01,0.5350,0.5350,0.5350,0.5350,0
2021-01-29,0.5350,0.5350,0.5350,0.5350,0
2021-01-28,0.5350,0.5350,0.5350,0.5350,0
2021-01-27,0.5350,0.5350,0.5350,0.5350,0
2021-01-26,0.5350,0.5350,0.5350,0.5350,0
2021-01-25,0.5350,0.5350,0.5350,0.5350,0
2021-01-22,0.5350,0.5350,0.5350,0.5350,0
2021-01-21,0.5350,0.5350,0.5350,0.5350,0
2021-01-20,0.5350,0.5350,0.5350,0.5350,0
2021-01-19,0.5350,0.5350,0.5350,0.5350,0
2021-01-15,0.5350,0.5350,0.5350,0.5350,0
2021-01-14,0.5350,0.5350,0.5350,0.5350,0
2021-01-13,0.5350,0.5350,0.5350,0.5350,0
2021-01-12,0.5350,0.5350,0.5350,0.5350,0
