,1. open,2. high,3. low,4. close,5. volume,day,day_of_month,month
2021-03-12,0.5058,0.5058,0.5058,0.5058,0,5,12,3
2021-03-11,0.5058,0.5058,0.5058,0.5058,4000,4,11,3
2021-03-10,0.515,0.515,0.515,0.515,0,3,10,3
2021-03-09,0.515,0.515,0.515,0.515,0,2,9,3
2021-03-08,0.515,0.515,0.515,0.515,0,1,8,3
2021-03-05,0.515,0.515,0.515,0.515,780,5,5,3
2021-03-04,0.5342,0.5342,0.5342,0.5342,0,4,4,3
2021-03-03,0.5342,0.5342,0.5342,0.5342,0,3,3,3
2021-03-02,0.5342,0.5342,0.5342,0.5342,0,2,2,3
2021-03-01,0.5342,0.5342,0.5342,0.5342,0,1,1,3
2021-02-26,0.5342,0.5342,0.5342,0.5342,0,5,26,2
2021-02-25,0.5342,0.5342,0.5342,0.5342,0,4,25,2
2021-02-24,0.5342,0.5342,0.5342,0.5342,0,3,24,2
2021-02-23,0.5342,0.5342,0.5342,0.5342,0,2,23,2
2021-02-22,0.5342,0.5342,0.5342,0.5342,0,1,22,2
2021-02-19,0.5342,0.5342,0.5342,0.5342,0,5,19,2
2021-02-18,0.5342,0.5342,0.5342,0.5342,0,4,18,2
2021-02-17,0.5342,0.5342,0.5342,0.5342,0,3,17,2
2021-02-16,0.525,0.5342,0.525,0.5342,250,2,16,2
2021-02-12,0.535,0.535,0.535,0.535,0,5,12,2
2021-02-11,0.535,0.535,0.535,0.535,0,4,11,2
2021-02-10,0.535,0.535,0.535,0.535,0,3,10,2
2021-02-09,0.535,0.535,0.535,0.535,0,2,9,2
2021-02-08,0.535,0.535,0.535,0.535,0,1,8,2
2021-02-05,0.535,0.535,0.535,0.535,0,5,5,2
2021-02-04,0.535,0.535,0.535,0.535,0,4,4,2
2021-02-03,0.535,0.535,0.535,0.535,0,3,3,2
2021-02-02,0.535,0.535,0.535,0.535,0,2,2,2
2021-02-01,0.535,0.535,0.535,0.535,0,1,1,2
2021-01-29,0.535,0.535,0.535,0.535,0,5,29,1
2021-01-28,0.535,0.535,0.535,0.535,0,4,28,1
2021-01-27,0.535,0.535,0.535,0.535,0,3,27,1
2021-01-26,0.535,0.535,0.535,0.535,0,2,26,1
2021-01-25,0.535,0.535,0.535,0.535,0,1,25,1
2021-01-22,0.535,0.535,0.535,0.535,0,5,22,1
2021-01-21,0.535,0.535,0.535,0.535,0,4,21,1
2021-01-20,0.535,0.535,0.535,0.535,0,3,20,1
2021-01-19,0.535,0.535,0.535,0.535,0,2,19,1
2021-01-15,0.535,0.535,0.535,0.535,0,5,15,1
2021-01-14,0.535,0.535,0.535,0.535,0,4,14,1
2021-01-13,0.535,0.535,0.535,0.535,0,3,13,1
2021-01-12,0.535,0.535,0.535,0.535,0,2,12,1
2021-01-11,0.535,0.535,0.535,0.535,0,1,11,1
2021-01-08,0.535,0.535,0.535,0.535,0,5,8,1
2021-01-07,0.535,0.535,0.535,0.535,0,4,7,1
2021-01-06,0.535,0.535,0.535,0.535,0,3,6,1
2021-01-05,0.535,0.535,0.535,0.535,366,2,5,1
2021-01-04,0.5248,0.5248,0.5248,0.5248,0,1,4,1
2020-12-31,0.5248,0.5248,0.5248,0.5248,0,4,31,12
2020-12-30,0.5248,0.5248,0.5248,0.5248,0,3,30,12
2020-12-29,0.5248,0.5248,0.5248,0.5248,0,2,29,12
2020-12-28,0.5248,0.5248,0.5248,0.5248,0,1,28,12
2020-12-24,0.5248,0.5248,0.5248,0.5248,0,4,24,12
2020-12-23,0.5248,0.5248,0.5248,0.5248,0,3,23,12
2020-12-22,0.5248,0.5248,0.5248,0.5248,0,2,22,12
2020-12-21,0.5248,0.5248,0.5248,0.5248,5000,1,21,12
2020-12-18,0.514,0.514,0.514,0.514,0,5,18,12
2020-12-17,0.514,0.514,0.514,0.514,0,4,17,12
2020-12-16,0.514,0.514,0.514,0.514,0,3,16,12
2020-12-15,0.514,0.514,0.514,0.514,0,2,15,12
2020-12-14,0.514,0.514,0.514,0.514,0,1,14,12
2020-12-11,0.5222,0.5222,0.514,0.514,3000,5,11,12
2020-12-10,0.5119,0.5119,0.5119,0.5119,0,4,10,12
2020-12-09,0.5119,0.5119,0.5119,0.5119,0,3,9,12
2020-12-08,0.5119,0.5119,0.5119,0.5119,0,2,8,12
2020-12-07,0.5119,0.5119,0.5119,0.5119,0,1,7,12
2020-12-04,0.5119,0.5119,0.5119,0.5119,0,5,4,12
2020-12-03,0.5119,0.5119,0.5119,0.5119,16000,4,3,12
2020-12-02,0.54,0.54,0.54,0.54,0,3,2,12
2020-12-01,0.54,0.54,0.54,0.54,0,2,1,12
2020-11-30,0.54,0.54,0.54,0.54,0,1,30,11
2020-11-27,0.54,0.54,0.54,0.54,0,5,27,11
2020-11-25,0.54,0.54,0.54,0.54,0,3,25,11
2020-11-24,0.54,0.54,0.54,0.54,0,2,24,11
2020-11-23,0.54,0.54,0.54,0.54,0,1,23,11
2020-11-20,0.54,0.54,0.54,0.54,3000,5,20,11
2020-11-19,0.505,0.505,0.505,0.505,0,4,19,11
2020-11-18,0.505,0.505,0.505,0.505,0,3,18,11
2020-11-17,0.505,0.505,0.505,0.505,0,2,17,11
2020-11-16,0.505,0.505,0.505,0.505,0,1,16,11
2020-11-13,0.505,0.505,0.505,0.505,0,5,13,11
2020-11-12,0.505,0.505,0.505,0.505,0,4,12,11
2020-11-11,0.505,0.505,0.505,0.505,0,3,11,11
